corpusCid=22196d8904677ce92cdfbc0e0c0049ad7075ebc6ce56fc0336e3e6a51382cdd9
corpusFiles=1421
range=[0,1420]
alreadyDurable=0
pending=1421
timeoutBound=300.0s workers=8 load=6.81
[1/1421] idx=3 completed     0.1s load=6.81 _config/dates.py
[2/1421] idx=7 completed     0.1s load=6.81 _libs/tslibs/__init__.py
[3/1421] idx=6 completed     0.1s load=6.81 _libs/__init__.py
[4/1421] idx=0 completed     0.1s load=6.81 __init__.py
[5/1421] idx=8 completed     0.1s load=6.81 _libs/window/__init__.py
[6/1421] idx=10 completed     0.1s load=6.81 _testing/_hypothesis.py
[7/1421] idx=4 completed     0.3s load=6.81 _config/display.py
[8/1421] idx=1 completed     0.3s load=6.81 _config/__init__.py
[9/1421] idx=5 completed     0.3s load=6.81 _config/localization.py
[10/1421] idx=11 completed     0.3s load=6.81 _testing/_io.py
[11/1421] idx=9 completed     0.4s load=6.81 _testing/__init__.py
[12/1421] idx=14 completed     0.3s load=6.81 _testing/compat.py
[13/1421] idx=12 completed     0.4s load=6.81 _testing/_warnings.py
[14/1421] idx=18 completed     0.1s load=6.81 _version_meson.py
[15/1421] idx=15 completed     0.3s load=6.81 _testing/contexts.py
[16/1421] idx=20 completed     0.1s load=6.81 api/executors/__init__.py
[17/1421] idx=2 completed     0.7s load=6.81 _config/config.py
[18/1421] idx=19 completed     0.1s load=6.81 api/__init__.py
[19/1421] idx=16 completed     0.4s load=6.81 _typing.py
[20/1421] idx=21 completed     0.1s load=6.81 api/extensions/__init__.py
[21/1421] idx=22 completed     0.1s load=6.81 api/indexers/__init__.py
[22/1421] idx=25 completed     0.1s load=6.81 api/types/__init__.py
[23/1421] idx=23 completed     0.1s load=6.81 api/interchange/__init__.py
[24/1421] idx=26 completed     0.1s load=6.81 api/typing/__init__.py
[25/1421] idx=27 completed     0.1s load=7.54 api/typing/aliases.py
[26/1421] idx=28 completed     0.1s load=7.54 arrays/__init__.py
[27/1421] idx=30 completed     0.1s load=7.54 compat/_constants.py
[28/1421] idx=32 completed     0.1s load=7.54 compat/numpy/__init__.py
[29/1421] idx=24 completed     0.3s load=7.54 api/internals.py
[30/1421] idx=29 completed     0.3s load=7.54 compat/__init__.py
[31/1421] idx=31 completed     0.4s load=7.54 compat/_optional.py
[32/1421] idx=17 completed     0.7s load=7.54 _version.py
[33/1421] idx=37 completed     0.1s load=7.54 core/__init__.py
[34/1421] idx=33 completed     0.4s load=7.54 compat/numpy/function.py
[35/1421] idx=34 completed     0.3s load=7.54 compat/pickle_compat.py
[36/1421] idx=38 completed     0.1s load=7.54 core/_numba/__init__.py
[37/1421] idx=35 completed     0.3s load=7.54 compat/pyarrow.py
[38/1421] idx=41 completed     0.1s load=7.54 core/_numba/kernels/__init__.py
[39/1421] idx=13 completed     1.2s load=7.54 _testing/asserters.py
[40/1421] idx=44 completed     0.3s load=7.54 core/_numba/kernels/shared.py
[41/1421] idx=42 completed     0.4s load=7.54 core/_numba/kernels/mean_.py
[42/1421] idx=36 completed     0.8s load=7.54 conftest.py
[43/1421] idx=43 completed     0.5s load=7.54 core/_numba/kernels/min_max_.py
[44/1421] idx=45 completed     0.5s load=7.54 core/_numba/kernels/sum_.py
[45/1421] idx=46 completed     0.5s load=7.54 core/_numba/kernels/var_.py
[46/1421] idx=39 completed     0.7s load=7.54 core/_numba/executor.py
[47/1421] idx=49 completed     0.1s load=7.54 core/api.py
[48/1421] idx=40 completed     0.7s load=7.54 core/_numba/extensions.py
[49/1421] idx=51 completed     0.1s load=7.54 core/array_algos/__init__.py
[50/1421] idx=47 completed     0.5s load=7.54 core/accessor.py
[51/1421] idx=52 completed     0.3s load=7.54 core/array_algos/datetimelike_accumulations.py
[52/1421] idx=53 completed     0.3s load=7.54 core/array_algos/masked_accumulations.py
[53/1421] idx=54 completed     0.4s load=7.54 core/array_algos/masked_reductions.py
[54/1421] idx=55 completed     0.4s load=7.54 core/array_algos/putmask.py
[55/1421] idx=56 completed     0.4s load=7.54 core/array_algos/quantile.py
[56/1421] idx=57 completed     0.4s load=7.54 core/array_algos/replace.py
[57/1421] idx=61 completed     0.1s load=7.54 core/arrays/__init__.py
[58/1421] idx=48 completed     0.9s load=7.54 core/algorithms.py
[59/1421] idx=59 completed     0.3s load=7.54 core/array_algos/transforms.py
[60/1421] idx=66 completed     0.1s load=7.54 core/arrays/arrow/__init__.py
[61/1421] idx=64 completed     0.3s load=7.54 core/arrays/_ranges.py
[62/1421] idx=58 completed     0.6s load=7.54 core/array_algos/take.py
[63/1421] idx=65 completed     0.3s load=7.54 core/arrays/_utils.py
[64/1421] idx=60 completed     0.7s load=7.54 core/arraylike.py
[65/1421] idx=62 completed     0.7s load=7.54 core/arrays/_arrow_string_mixins.py
[66/1421] idx=67 completed     0.3s load=7.54 core/arrays/arrow/_arrow_utils.py
[67/1421] idx=63 completed     0.6s load=7.54 core/arrays/_mixins.py
[68/1421] idx=68 completed     0.5s load=7.54 core/arrays/arrow/accessors.py
[69/1421] idx=70 completed     0.4s load=7.54 core/arrays/arrow/extension_types.py
[70/1421] idx=50 completed     1.5s load=7.54 core/apply.py
[71/1421] idx=76 completed     0.3s load=7.54 core/arrays/floating.py
[72/1421] idx=72 completed     0.5s load=7.54 core/arrays/boolean.py
[73/1421] idx=77 completed     0.3s load=7.54 core/arrays/integer.py
[74/1421] idx=71 completed     1.0s load=7.54 core/arrays/base.py
[75/1421] idx=73 completed     1.4s load=7.54 core/arrays/categorical.py
[76/1421] idx=80 completed     0.9s load=7.54 core/arrays/numeric.py
[77/1421] idx=83 completed     0.1s load=7.54 core/arrays/sparse/__init__.py
[78/1421] idx=81 completed     0.7s load=7.54 core/arrays/numpy_.py
[79/1421] idx=74 completed     1.6s load=7.54 core/arrays/datetimelike.py
[80/1421] idx=78 completed     1.4s load=7.54 core/arrays/interval.py
[81/1421] idx=79 completed     1.4s load=7.54 core/arrays/masked.py
[82/1421] idx=86 completed     0.3s load=7.54 core/arrays/sparse/scipy_sparse.py
[83/1421] idx=84 completed     0.5s load=7.54 core/arrays/sparse/accessor.py
[84/1421] idx=82 completed     0.9s load=7.54 core/arrays/period.py
[85/1421] idx=75 completed     2.4s load=7.54 core/arrays/datetimes.py
[86/1421] idx=88 completed     0.6s load=7.54 core/arrays/string_arrow.py
[87/1421] idx=93 completed     0.1s load=7.54 core/computation/__init__.py
[88/1421] idx=90 completed     0.7s load=7.54 core/base.py
[89/1421] idx=87 completed     0.9s load=7.54 core/arrays/string_.py
[90/1421] idx=95 completed     0.1s load=8.06 core/computation/api.py
[91/1421] idx=96 completed     0.1s load=8.06 core/computation/check.py
[92/1421] idx=89 completed     0.9s load=8.06 core/arrays/timedeltas.py
[93/1421] idx=91 completed     0.7s load=8.06 core/col.py
[94/1421] idx=92 completed     0.5s load=8.06 core/common.py
[95/1421] idx=85 completed     1.4s load=8.06 core/arrays/sparse/array.py
[96/1421] idx=94 completed     0.5s load=8.06 core/computation/align.py
[97/1421] idx=97 completed     0.4s load=8.06 core/computation/common.py
[98/1421] idx=98 completed     0.3s load=8.06 core/computation/engines.py
[99/1421] idx=99 completed     0.5s load=8.06 core/computation/eval.py
[100/1421] idx=101 completed     0.4s load=8.06 core/computation/expressions.py
[101/1421] idx=103 completed     0.4s load=8.06 core/computation/parsing.py
[102/1421] idx=102 completed     0.5s load=8.06 core/computation/ops.py
[103/1421] idx=108 completed     0.1s load=8.06 core/dtypes/__init__.py
[104/1421] idx=105 completed     0.5s load=8.06 core/computation/scope.py
[105/1421] idx=109 completed     0.1s load=8.06 core/dtypes/api.py
[106/1421] idx=106 completed     0.3s load=8.06 core/config_init.py
[107/1421] idx=100 completed     0.8s load=8.06 core/computation/expr.py
[108/1421] idx=69 completed     4.2s load=8.06 core/arrays/arrow/array.py
[109/1421] idx=110 completed     0.4s load=8.06 core/dtypes/astype.py
[110/1421] idx=104 completed     0.8s load=8.06 core/computation/pytables.py
[111/1421] idx=111 completed     0.5s load=8.06 core/dtypes/base.py
[112/1421] idx=107 completed     0.7s load=8.06 core/construction.py
[113/1421] idx=114 completed     0.4s load=8.06 core/dtypes/concat.py
[114/1421] idx=113 completed     0.6s load=8.06 core/dtypes/common.py
[115/1421] idx=117 completed     0.4s load=8.06 core/dtypes/inference.py
[116/1421] idx=116 completed     0.4s load=8.06 core/dtypes/generic.py
[117/1421] idx=123 completed     0.1s load=8.06 core/groupby/base.py
[118/1421] idx=122 completed     0.1s load=8.06 core/groupby/__init__.py
[119/1421] idx=119 completed     0.4s load=8.06 core/flags.py
[120/1421] idx=118 completed     0.6s load=8.06 core/dtypes/missing.py
[121/1421] idx=124 completed     0.3s load=8.06 core/groupby/categorical.py
[122/1421] idx=112 completed     1.2s load=8.06 core/dtypes/cast.py
[123/1421] idx=115 completed     1.2s load=8.06 core/dtypes/dtypes.py
[124/1421] idx=128 completed     0.5s load=8.06 core/groupby/indexing.py
[125/1421] idx=129 completed     0.4s load=8.06 core/groupby/numba_.py
[126/1421] idx=131 completed     0.1s load=8.06 core/indexers/__init__.py
[127/1421] idx=127 completed     0.8s load=8.06 core/groupby/grouper.py
[128/1421] idx=134 completed     0.1s load=8.06 core/indexes/__init__.py
[129/1421] idx=132 completed     0.5s load=8.06 core/indexers/objects.py
[130/1421] idx=133 completed     0.5s load=8.06 core/indexers/utils.py
[131/1421] idx=135 completed     0.4s load=8.06 core/indexes/accessors.py
[132/1421] idx=136 completed     0.5s load=8.06 core/indexes/api.py
[133/1421] idx=138 completed     0.4s load=8.06 core/indexes/category.py
[134/1421] idx=130 completed     1.7s load=8.06 core/groupby/ops.py
[135/1421] idx=126 completed     2.3s load=8.06 core/groupby/groupby.py
[136/1421] idx=139 completed     0.7s load=8.06 core/indexes/datetimelike.py
[137/1421] idx=140 completed     0.7s load=8.06 core/indexes/datetimes.py
[138/1421] idx=142 completed     0.4s load=8.06 core/indexes/frozen.py
[139/1421] idx=141 completed     0.4s load=8.06 core/indexes/extension.py
[140/1421] idx=145 completed     0.5s load=8.06 core/indexes/period.py
[141/1421] idx=143 completed     0.8s load=8.7 core/indexes/interval.py
[142/1421] idx=147 completed     0.4s load=8.7 core/indexes/timedeltas.py
[143/1421] idx=149 completed     0.1s load=8.7 core/interchange/__init__.py
[144/1421] idx=125 completed     3.8s load=8.7 core/groupby/generic.py
[145/1421] idx=146 completed     1.2s load=8.7 core/indexes/range.py
[146/1421] idx=150 completed     0.4s load=8.7 core/interchange/buffer.py
[147/1421] idx=152 completed     0.4s load=8.7 core/interchange/dataframe.py
[148/1421] idx=153 completed     0.3s load=8.7 core/interchange/dataframe_protocol.py
[149/1421] idx=151 completed     0.6s load=8.7 core/interchange/column.py
[150/1421] idx=156 completed     0.3s load=8.7 core/internals/__init__.py
[151/1421] idx=121 completed     5.0s load=8.7 core/generic.py
[152/1421] idx=155 completed     0.4s load=8.7 core/interchange/utils.py
[153/1421] idx=154 completed     0.6s load=8.7 core/interchange/from_dataframe.py
[154/1421] idx=157 completed     0.4s load=8.7 core/internals/api.py
[155/1421] idx=159 completed     0.6s load=8.7 core/internals/concat.py
[156/1421] idx=148 completed     1.9s load=8.7 core/indexing.py
[157/1421] idx=137 completed     4.0s load=8.7 core/indexes/base.py
[158/1421] idx=163 completed     0.1s load=8.7 core/methods/__init__.py
[159/1421] idx=144 completed     2.8s load=8.7 core/indexes/multi.py
[160/1421] idx=162 completed     0.4s load=8.7 core/internals/ops.py
[161/1421] idx=120 completed     6.2s load=8.7 core/frame.py
[162/1421] idx=164 completed     0.4s load=8.7 core/methods/describe.py
[163/1421] idx=169 completed     0.1s load=8.7 core/ops/__init__.py
[164/1421] idx=166 completed     0.5s load=8.7 core/methods/to_dict.py
[165/1421] idx=165 completed     0.7s load=8.7 core/methods/selectn.py
[166/1421] idx=171 completed     0.4s load=8.7 core/ops/common.py
[167/1421] idx=158 completed     1.6s load=8.7 core/internals/blocks.py
[168/1421] idx=172 completed     0.3s load=8.7 core/ops/dispatch.py
[169/1421] idx=167 completed     0.8s load=8.7 core/missing.py
[170/1421] idx=170 completed     0.6s load=8.7 core/ops/array_ops.py
[171/1421] idx=174 completed     0.4s load=8.7 core/ops/invalid.py
[172/1421] idx=173 completed     0.4s load=8.7 core/ops/docstrings.py
[173/1421] idx=160 completed     1.8s load=8.7 core/internals/construction.py
[174/1421] idx=175 completed     0.4s load=8.7 core/ops/mask_ops.py
[175/1421] idx=176 completed     0.3s load=8.7 core/ops/missing.py
[176/1421] idx=178 completed     0.1s load=8.7 core/reshape/__init__.py
[177/1421] idx=179 completed     0.1s load=8.7 core/reshape/api.py
[178/1421] idx=168 completed     1.2s load=8.7 core/nanops.py
[179/1421] idx=161 completed     2.2s load=8.7 core/internals/managers.py
[180/1421] idx=181 completed     0.6s load=8.7 core/reshape/encoding.py
[181/1421] idx=182 completed     0.7s load=8.7 core/reshape/melt.py
[182/1421] idx=180 completed     0.8s load=8.7 core/reshape/concat.py
[183/1421] idx=187 completed     0.3s load=8.7 core/roperator.py
[184/1421] idx=186 completed     0.5s load=8.7 core/reshape/tile.py
[185/1421] idx=188 completed     0.4s load=8.7 core/sample.py
[186/1421] idx=190 completed     0.1s load=8.7 core/shared_docs.py
[187/1421] idx=192 completed     0.1s load=8.7 core/sparse/__init__.py
[188/1421] idx=193 completed     0.1s load=8.7 core/sparse/api.py
[189/1421] idx=194 completed     0.1s load=8.7 core/strings/__init__.py
[190/1421] idx=185 completed     1.3s load=9.04 core/reshape/reshape.py
[191/1421] idx=197 completed     0.1s load=9.04 core/tools/__init__.py
[192/1421] idx=191 completed     0.9s load=9.04 core/sorting.py
[193/1421] idx=196 completed     0.8s load=9.04 core/strings/object_array.py
[194/1421] idx=183 completed     2.3s load=9.04 core/reshape/merge.py
[195/1421] idx=200 completed     0.4s load=9.04 core/tools/timedeltas.py
[196/1421] idx=198 completed     0.8s load=9.04 core/tools/datetimes.py
[197/1421] idx=202 completed     0.1s load=9.04 core/util/__init__.py
[198/1421] idx=195 completed     1.5s load=9.04 core/strings/accessor.py
[199/1421] idx=201 completed     0.5s load=9.04 core/tools/times.py
[200/1421] idx=205 completed     0.1s load=9.04 core/window/__init__.py
[201/1421] idx=204 completed     0.3s load=9.04 core/util/numba_.py
[202/1421] idx=203 completed     0.5s load=9.04 core/util/hashing.py
[203/1421] idx=207 completed     0.3s load=9.04 core/window/doc.py
[204/1421] idx=206 completed     0.6s load=9.04 core/window/common.py
[205/1421] idx=209 completed     0.4s load=9.04 core/window/expanding.py
[206/1421] idx=208 completed     0.6s load=9.04 core/window/ewm.py
[207/1421] idx=189 completed     2.8s load=9.04 core/series.py
[208/1421] idx=214 completed     0.1s load=9.04 errors/cow.py
[209/1421] idx=215 completed     0.1s load=9.04 io/__init__.py
[210/1421] idx=211 completed     0.5s load=9.04 core/window/online.py
[211/1421] idx=217 completed     0.1s load=9.04 io/api.py
[212/1421] idx=213 completed     0.4s load=9.04 errors/__init__.py
[213/1421] idx=210 completed     0.9s load=9.04 core/window/numba_.py
[214/1421] idx=219 completed     0.4s load=9.04 io/clipboards.py
[215/1421] idx=216 completed     0.5s load=9.04 io/_util.py
[216/1421] idx=221 completed     0.1s load=9.04 io/excel/__init__.py
[217/1421] idx=184 completed     4.5s load=9.04 core/reshape/pivot.py
[218/1421] idx=223 completed     0.3s load=9.04 io/excel/_calamine.py
[219/1421] idx=212 completed     1.6s load=9.04 core/window/rolling.py
[220/1421] idx=224 completed     0.5s load=9.04 io/excel/_odfreader.py
[221/1421] idx=220 completed     1.0s load=9.04 io/common.py
[222/1421] idx=218 completed     1.2s load=9.04 io/clipboard/__init__.py
[223/1421] idx=225 completed     0.5s load=9.04 io/excel/_odswriter.py
[224/1421] idx=222 completed     1.0s load=9.04 io/excel/_base.py
[225/1421] idx=227 completed     0.4s load=9.04 io/excel/_pyxlsb.py
[226/1421] idx=228 completed     0.5s load=9.04 io/excel/_util.py
[227/1421] idx=232 completed     0.1s load=9.04 io/formats/__init__.py
[228/1421] idx=229 completed     0.4s load=9.04 io/excel/_xlrd.py
[229/1421] idx=233 completed     0.1s load=9.04 io/formats/_color_data.py
[230/1421] idx=226 completed     0.7s load=9.04 io/excel/_openpyxl.py
[231/1421] idx=231 completed     0.3s load=9.04 io/feather_format.py
[232/1421] idx=230 completed     0.5s load=9.04 io/excel/_xlsxwriter.py
[233/1421] idx=234 completed     0.3s load=9.04 io/formats/console.py
[234/1421] idx=235 completed     0.6s load=9.04 io/formats/css.py
[235/1421] idx=236 completed     0.5s load=9.04 io/formats/csvs.py
[236/1421] idx=239 completed     0.8s load=9.68 io/formats/html.py
[237/1421] idx=240 completed     0.8s load=9.68 io/formats/info.py
[238/1421] idx=242 completed     0.5s load=9.68 io/formats/string.py
[239/1421] idx=237 completed     1.0s load=9.68 io/formats/excel.py
[240/1421] idx=241 completed     1.0s load=9.68 io/formats/printing.py
[241/1421] idx=245 completed     0.6s load=9.68 io/formats/xml.py
[242/1421] idx=248 completed     0.1s load=9.68 io/json/__init__.py
[243/1421] idx=247 completed     0.4s load=9.68 io/iceberg.py
[244/1421] idx=246 completed     0.9s load=9.68 io/html.py
[245/1421] idx=238 completed     2.1s load=9.68 io/formats/format.py
[246/1421] idx=251 completed     0.5s load=9.68 io/json/_table_schema.py
[247/1421] idx=252 completed     0.3s load=9.68 io/orc.py
[248/1421] idx=254 completed     0.1s load=9.68 io/parsers/__init__.py
[249/1421] idx=250 completed     0.9s load=9.68 io/json/_normalize.py
[250/1421] idx=249 completed     1.1s load=9.68 io/json/_json.py
[251/1421] idx=253 completed     0.6s load=9.68 io/parquet.py
[252/1421] idx=244 completed     2.0s load=9.68 io/formats/style_render.py
[253/1421] idx=243 completed     2.1s load=9.68 io/formats/style.py
[254/1421] idx=255 completed     0.6s load=9.68 io/parsers/arrow_parser_wrapper.py
[255/1421] idx=260 completed     0.3s load=9.68 io/pickle.py
[256/1421] idx=257 completed     0.6s load=9.68 io/parsers/c_parser_wrapper.py
[257/1421] idx=262 completed     0.1s load=9.68 io/sas/__init__.py
[258/1421] idx=264 completed     0.1s load=9.68 io/sas/sas_constants.py
[259/1421] idx=256 completed     0.9s load=9.68 io/parsers/base_parser.py
[260/1421] idx=266 completed     0.4s load=9.68 io/sas/sasreader.py
[261/1421] idx=259 completed     1.2s load=9.68 io/parsers/readers.py
[262/1421] idx=263 completed     0.8s load=9.68 io/sas/sas7bdat.py
[263/1421] idx=265 completed     0.7s load=9.68 io/sas/sas_xport.py
[264/1421] idx=267 completed     0.3s load=9.68 io/spss.py
[265/1421] idx=271 completed     0.1s load=9.68 plotting/__init__.py
[266/1421] idx=270 completed     0.7s load=9.68 io/xml.py
[267/1421] idx=272 completed     0.7s load=9.68 plotting/_core.py
[268/1421] idx=273 completed     0.3s load=9.68 plotting/_matplotlib/__init__.py
[269/1421] idx=258 completed     2.7s load=9.68 io/parsers/python_parser.py
[270/1421] idx=268 completed     1.7s load=11.23 io/sql.py
[271/1421] idx=274 completed     0.8s load=11.23 plotting/_matplotlib/boxplot.py
[272/1421] idx=277 completed     0.4s load=11.23 plotting/_matplotlib/groupby.py
[273/1421] idx=275 completed     1.0s load=11.23 plotting/_matplotlib/converter.py
[274/1421] idx=278 completed     0.7s load=11.23 plotting/_matplotlib/hist.py
[275/1421] idx=280 completed     0.4s load=11.23 plotting/_matplotlib/style.py
[276/1421] idx=279 completed     1.0s load=11.23 plotting/_matplotlib/misc.py
[277/1421] idx=269 completed     3.0s load=11.23 io/stata.py
[278/1421] idx=281 completed     0.6s load=11.23 plotting/_matplotlib/timeseries.py
[279/1421] idx=284 completed     0.1s load=11.23 testing.py
[280/1421] idx=285 completed     0.1s load=11.23 tests/__init__.py
[281/1421] idx=282 completed     0.7s load=11.23 plotting/_matplotlib/tools.py
[282/1421] idx=286 completed     0.1s load=11.23 tests/api/__init__.py
[283/1421] idx=289 completed     0.1s load=11.23 tests/apply/__init__.py
[284/1421] idx=276 completed     2.0s load=11.23 plotting/_matplotlib/core.py
[285/1421] idx=283 completed     0.4s load=11.23 plotting/_misc.py
[286/1421] idx=290 completed     0.1s load=11.23 tests/apply/common.py
[287/1421] idx=288 completed     0.3s load=11.23 tests/api/test_types.py
[288/1421] idx=287 completed     0.5s load=11.23 tests/api/test_api.py
[289/1421] idx=291 completed     0.3s load=11.23 tests/apply/conftest.py
[290/1421] idx=261 completed     4.8s load=11.23 io/pytables.py
[291/1421] idx=293 completed     0.3s load=11.23 tests/apply/test_frame_apply_relabeling.py
