file	signature	mut_skip_class
array.rs	=(var,var)	true
cell.rs	=(ctor,const)	true
hash/mod.rs	=(ctor,const)	false
iter/adapters/peekable.rs	=(ctor,ctor)	false
iter/adapters/step_by.rs	=(ctor,const)	false
iter/adapters/step_by.rs	=(ctor,const)	false
iter/adapters/step_by.rs	=(ctor,ctor)	false
iter/adapters/step_by.rs	=(ctor,ctor)	false
iter/range.rs	=(const,const)	false
iter/range.rs	=(const,const)	false
iter/traits/accum.rs	=(ctor,const)	false
iter/traits/iterator.rs	=(ctor,ctor)	false
mem.rs	=(const,const)	true
num/wrapping.rs	=(ctor,const)	false
ops.rs	=(const,const)	true
ptr.rs	=(const,const)	true
ptr.rs	=(const,const)	true
ptr.rs	=(const,const)	true
result.rs	=(var,ctor)	true
tuple.rs	<(var,var)	false
